source,destination,median_delay_ratio,pct_delayed,volume,median_actual_time,median_osrm_time,is_chronic,delay_volume_score
IND411033AAA,IND562132AAA,1.5,0.8195266272189349,338,27.0,17.0,1,507.0
IND000000ACB,IND209304AAA,1.8666666666666667,0.8736059479553904,269,35.0,18.0,1,502.1333333333333
IND382430AAB,IND395023AAA,1.632456140350877,0.9,300,34.0,18.0,1,489.7368421052631
IND712311AAA,IND781018AAB,2.3529411764705883,0.9901477832512315,203,57.0,22.0,1,477.64705882352945
IND411033AAA,IND413002AAA,1.4666666666666666,0.8024691358024691,324,24.0,17.0,1,475.2
IND411033AAA,IND431603AAA,1.8461538461538463,1.0,253,37.0,19.0,1,467.0769230769231
IND400072AAB,IND421302AAG,2.5454545454545454,0.95,180,19.0,9.0,1,458.1818181818182
IND834002AAB,IND827013AAA,2.7083333333333335,0.8106508875739645,169,24.0,11.0,1,457.70833333333337
IND421302AAG,IND834002AAB,1.8229166666666665,0.9105691056910569,246,36.0,19.0,1,448.43749999999994
IND421302AAG,IND400015AAA,2.125,0.9086538461538461,208,14.0,7.0,1,442.0
IND530012AAA,IND532001AAB,1.6666666666666667,0.9128787878787878,264,12.0,7.0,1,440.0
IND600032AAB,IND600056AAB,1.7777777777777777,0.8987854251012146,247,15.0,8.0,1,439.1111111111111
IND413002AAA,IND501359AAE,2.0,0.7889908256880734,218,34.0,18.0,1,436.0
IND821115AAB,IND000000ACB,1.6875,0.8326848249027238,257,33.0,18.0,1,433.6875
IND000000ACT,IND000000ACB,1.375,0.6847133757961783,314,17.0,12.0,1,431.75
IND000000ACB,IND302014AAA,1.588235294117647,0.8740740740740741,270,32.0,19.0,1,428.8235294117647
IND530012AAA,IND501359AAE,1.8,0.9493670886075949,237,33.0,17.0,1,426.6
IND562132AAA,IND416012AAA,1.411764705882353,0.8060200668896321,299,25.0,18.0,1,422.11764705882354
IND400072AAB,IND401104AAA,2.7142857142857144,0.9354838709677419,155,20.0,8.0,1,420.7142857142857
IND474003AAA,IND000000ACB,1.3461538461538463,0.6334405144694534,311,34.0,25.0,1,418.6538461538462
IND501359AAE,IND533106AAA,2.0,0.9754901960784313,204,36.0,17.5,1,408.0
IND532001AAB,IND530012AAA,1.75,0.9741379310344828,232,12.0,7.0,1,406.0
IND821115AAB,IND209304AAA,1.6666666666666667,0.8333333333333334,240,30.0,17.0,1,400.0
IND411033AAA,IND501359AAE,1.5,0.7756653992395437,263,27.0,17.0,1,394.5
IND000000ACB,IND110064AAA,1.375,0.6783216783216783,286,13.0,10.0,1,393.25
IND562132AAA,IND712311AAA,1.7669683257918551,0.9722222222222222,216,36.0,18.0,1,381.6651583710407
IND562132AAA,IND421302AAG,1.4736842105263157,0.8062015503875969,258,28.0,18.0,1,380.2105263157895
IND131028AAB,IND160002AAC,1.58359133126935,0.9416666666666667,240,27.0,17.0,1,380.061919504644
IND421302AAG,IND401104AAA,2.4444444444444446,0.9612903225806452,155,30.0,12.0,1,378.8888888888889
IND515004AAA,IND501359AAE,1.588235294117647,0.9704641350210971,237,28.0,17.0,1,376.4117647058823
IND121004AAB,IND121102AAA,1.8333333333333333,0.8292682926829268,205,11.0,6.0,1,375.8333333333333
IND600056AAB,IND600032AAB,1.8,0.8509615384615384,208,14.0,9.0,1,374.40000000000003
IND421302AAG,IND400102AAC,2.2111111111111112,0.9112426035502958,169,24.0,11.0,1,373.6777777777778
IND000000ACT,IND160002AAC,1.75,0.9666666666666667,210,30.0,18.0,1,367.5
IND000000ACB,IND110095AAB,1.375,0.556390977443609,266,13.0,11.0,1,365.75
IND788026AAC,IND781018AAB,2.44,0.9932885906040269,149,63.0,27.0,1,363.56
IND524003AAA,IND501359AAE,1.5294117647058822,0.919831223628692,237,33.0,21.0,1,362.4705882352941
