hub_id,city,state,betweenness,in_degree,out_degree,degree,clustering,pagerank,closeness,avg_outgoing_delay,avg_incoming_delay,total_volume,norm_betweenness,norm_delay,norm_volume,norm_in_degree,norm_pagerank,bottleneck_score
IND723131AAA,Manbazar_Central_DPP_1,West Bengal,0.0007782477341389728,1,1,2,1.0,0.0005528500380299519,0.09687406772310092,1.333165322580645,1.0,23,0.003518971848225214,0.06498518652400619,0.0005708651201411593,0.022222222222222223,0.04533786161036167,0.024348118185166995
IND244901AAC,Rampur_ThanaDPP_D,Uttar Pradesh,3.632642929363258e-06,1,1,2,0.0,0.00024422687923234714,0.06567329059011977,1.5,1.2523809523809524,9,1.6425577155359854e-05,0.08298401776916782,0.00020758731641496705,0.022222222222222223,0.013078025635498708,0.024323295643351416
IND424101AAA,Chalisgaon_BhadgDPP_D,Maharashtra,3.625377643504532e-06,1,1,2,0.0,0.00021500562469996872,0.002625498844780508,1.5,1.7142857142857142,54,1.6392726001049136e-05,0.08298401776916782,0.0013752659712491567,0.022222222222222223,0.01002357929431388,0.024251375242295765
IND487001AAA,Narsingpur_JrjolDPP_D,Madhya Pradesh,0.0,1,1,2,0.0,0.00031163307694725804,0.10951969991341474,1.47,1.688095238095238,16,0.0,0.079747490773059,0.0003892262182780632,0.022222222222222223,0.020123876926905697,0.024249327851833154
IND203135AAA,Jewar_SJRoad_D,Uttar Pradesh,0.0,1,2,3,0.3333333333333333,0.00030644697261524213,0.0008051529790660224,1.4579166666666667,1.5192592592592593,84,0.0,0.0784438896218485,0.0021537184078052832,0.022222222222222223,0.0195817825625321,0.024222116565498615
IND000000ABA,Cochin_Chtrpuza_D,Kerala,0.00038869279344186863,1,1,2,1.0,0.00042411979484689385,0.11494847814188144,1.3937728937728937,1.1602564102564101,60,0.0017575367556235044,0.07152378786841619,0.001530956458560382,0.022222222222222223,0.031881915704458044,0.02421268991595238
IND637408AAA,Rasipurm_Knrpati_D,Tamil Nadu,0.0,0,1,1,0.0,0.00011911212088054774,0.0,1.619047619047619,1.0,20,0.0,0.09582737886483773,0.0004930198764855467,0.0,0.0,0.024055448691506543
IND643217AAA,Kotagiri_CroslySRT_D,Tamil Nadu,2.9003021148036257e-05,2,1,3,0.3333333333333333,0.0008660080401202663,0.003913043478260869,1.15625,1.617296918767507,50,0.0001311418080083931,0.045898812605420926,0.0012714723130416731,0.044444444444444446,0.07807171677861399,0.02402651336907235
IND606803AAA,Polur_StationRD_D,Tamil Nadu,0.00038869279344186863,1,1,2,0.0,0.0001897449550150861,0.09212897150026672,1.4756521739130435,2.1578947368421053,38,0.0017575367556235044,0.08035727122160123,0.0009600913384192226,0.022222222222222223,0.007383125921260557,0.02385700875190066
IND680712AAA,Irinjlkuda_Greens_D,Kerala,0.0,1,1,2,1.0,0.0002170259905582917,0.0008051529790660224,1.4852941176470589,1.7032967032967032,50,0.0,0.08139748492793801,0.0012714723130416731,0.022222222222222223,0.010234764584013591,0.02384936437521642
